material_id,material_name,material_type,material_description,material_amount,material_order_date,material_photo,supplier_id,supplier_name,supplier_address
MTR_U1,Kenaf Fibers,Upper,ATLAS is sustainably designed using kenaf fibers and ramie. Features with an antimicrobial additive to prevent bacteria from causing odor and offered in sponge cushioned support to lock your feet in place.,10,02/28/2024,P1,S1,PT. Kenaf Indonesia,"Jl. Kenaf Raya No. 10, Bandung"
MTR_U1,Kenaf Fibers,Upper,ATLAS is sustainably designed using kenaf fibers and ramie. Features with an antimicrobial additive to prevent bacteria from causing odor and offered in sponge cushioned support to lock your feet in place.,8,02/29/2024,P2,S1,PT. Kenaf Indonesia,"Jl. Kenaf Raya No. 10, Bandung"
MTR_U1,Kenaf Fibers,Upper,ATLAS is sustainably designed using kenaf fibers and ramie. Features with an antimicrobial additive to prevent bacteria from causing odor and offered in sponge cushioned support to lock your feet in place.,5,03/01/2024,P3,S1,PT. Kenaf Indonesia,"Jl. Kenaf Raya No. 10, Bandung"
MTR_U1,Kenaf Fibers,Upper,ATLAS is sustainably designed using kenaf fibers and ramie. Features with an antimicrobial additive to prevent bacteria from causing odor and offered in sponge cushioned support to lock your feet in place.,15,03/02/2024,P4,S2,Recycle Polyester Co.,"Jl. Hijau Lestari No. 45, Jakarta"
MTR_U2,Ramie,Upper,"Through Saki Sneakers, we have avoided using virgin cotton and substituted the shoe upper with 70% recycled cotton coming from manufacturer textile waste.",7,03/03/2024,P5,S3,Natural Rubber Ltd.,"Jl. Karet Alam No. 89, Bogor"
MTR_U2,Ramie,Upper,"Through Saki Sneakers, we have avoided using virgin cotton and substituted the shoe upper with 70% recycled cotton coming from manufacturer textile waste.",5,03/04/2024,P6,S5,Bamboo Fiber Co.,"Jl. Bambu Indah No. 29, Tangerang"
MTR_U2,Ramie,Upper,"Through Saki Sneakers, we have avoided using virgin cotton and substituted the shoe upper with 70% recycled cotton coming from manufacturer textile waste.",13,03/05/2024,P7,S2,Recycle Polyester Co.,"Jl. Hijau Lestari No. 45, Jakarta"
MTR_U2,Ramie,Upper,"Through Saki Sneakers, we have avoided using virgin cotton and substituted the shoe upper with 70% recycled cotton coming from manufacturer textile waste.",6,03/06/2024,P8,S2,Recycle Polyester Co.,"Jl. Hijau Lestari No. 45, Jakarta"
MTR_U2,Ramie,Upper,"KOTTA in Japanese refers to something exquisite and advanced. The name represents our tiny tweak combining a moc toe upper silhouette. Inspired by cities that are familiar with fast-paced life, KOTTA provides a contrasting look between formal and casual. These pairs definitely match with an urban setting.",8,03/07/2024,P9,S3,Natural Rubber Ltd.,"Jl. Karet Alam No. 89, Bogor"
MTR_U3,Recycled Cotton,Upper,"KOTTA in Japanese refers to something exquisite and advanced. The name represents our tiny tweak combining a moc toe upper silhouette. Inspired by cities that are familiar with fast-paced life, KOTTA provides a contrasting look between formal and casual. These pairs definitely match with an urban setting.",8,03/08/2024,P10,S4,Organic Cotton Corp.,"Jl. Kapas Sejahtera No. 33, Depok"
